gene_short_name,A_1,A_2,A_3,B_1,B_2,B_3,C_1,C_2,C_3,D_1,D_2,D_3
ABHD10B,23.8222,19.4206,23.4484,19.2009,18.56665,19.928,16.89025,18.139675,18.1678,14.5796,17.7127,16.4076
C1QTNF9,20.4982,14.5065,24.2879,15.43255,13.91055,19.0739,12.899725,13.612575,16.4669,10.3669,13.3146,13.8599
YTHDF3,11.4579,11.327,9.92575,11.59635,11.21845,9.190665,11.665575,11.164175,8.8231225,11.7348,11.1099,8.45558
FLT1,15.1242,11.0513,10.3842,12.57605,11.97475,10.156295,11.301975,12.436475,10.0423425,10.0279,12.8982,9.92839
PAN3,8.70763,9.35678,8.3604,9.983615,9.246895,9.40735,10.6216075,9.1919525,9.930825,11.2596,9.13701,10.4543
SI:CH211-140B10.6,17.7596,16.9922,19.5525,17.7081,19.37185,19.88385,17.68235,20.561675,20.049525,17.6566,21.7515,20.2152
ALDH3A1,1.39167,1.3916,1.23503,1.313765,1.461265,1.300225,1.2748125,1.4960975,1.3328225,1.23586,1.53093,1.36542
GPAM(2of2),8.30098,7.38093,7.10259,7.166485,7.117575,7.0196,6.5992375,6.9858975,6.978105,6.03199,6.85422,6.93661
RXFP2B,0.954223,1.16701,0.990262,1.1182265,1.42507,1.339941,1.20022825,1.5541,1.5147805,1.28223,1.68313,1.68962
LOXL2(2of2),2.16727,2.41388,2.44847,2.3866,2.62605,2.122295,2.496265,2.732135,1.9592075,2.60593,2.83822,1.79612
NOG5,5.31672,3.21262,1.72636,3.816125,3.02389,3.105465,3.0658275,2.929525,3.7950175,2.31553,2.83516,4.48457
PLRG1,7.92424,7.70332,8.46431,7.50022,7.654205,7.486695,7.28821,7.6296475,6.9978875,7.0762,7.60509,6.50908
KIF21A(6of6),2.75221,2.60147,0.888076,2.531,1.92444,1.877823,2.420395,1.585925,2.3726965,2.30979,1.24741,2.86757
KIF21A(1of6),4.65968,4.07889,4.59746,3.738765,4.56824,4.896505,3.2783075,4.812915,5.0460275,2.81785,5.05759,5.19555
